grk_tws	eng_tws	asm_tws	ben_tws	guj_tws	hin_tws	kan_tws	mal_tws	mar_tws	pun_tws	odi_tws	tam_tws	tel_tws	urd_tws	heb_tws
G1484,G1494	pagan, pagans				अन्यजाति, अन्यजातियां									
G833,G933,G4232	palace, palaces				महल, महलों									
G5404	palm, palms				खजूर, हथेलियों									
	pardon				क्षमा कर, क्षमा									
G991,G1519,G2983,G4299,G4382,G4383	partial, be partial, partiality				आंशिक, पक्ष करना, पक्षपात									
G420,G463,G1933,G3114,G3115,G3116,G5278,G5281	patient, patiently, patience, impatient				धीरजवन्त, धीरज से, सहनशीलता, अधीर									
G3966	patriarch, patriarchs				कुलपति, कुलपतियों									
G269,G425,G31514,G1515,G1516,G1517,G1518,G2272	peace, peaceful, peacefully, peaceable, peacemakers				शान्ति, शांतिपूर्ण, शांतिपूर्वक, शंतियोग्य, शांति बनाने वाले									
	peace offering, peace offerings				मेलबलि, मेलबलियों									
G246,G1074,G1085,G1218,G1484,G2560,G2992,G3793	people group, peoples, the people, a people, people				जाति, लोगों, लोग, प्रजा									
G195,G197,G199,G739,G1295,G2005,G2675,G2676,G2677,G3647,G5046,G5047,G5048,G5050,G5052	perfect, perfected, perfecter, perfection, perfectly, complete				सिद्ध, सिद्ध कराई, सिद्ध करनेवाले, सिद्धता, खरे									
G1375,G1376,G1377,G1559,G2347	persecute, persecuted, persecuting, persecution, persecutions, persecutor, persecutors, chase, pursuers				सताएँ, सताए जाते, सताता, उपद्रव, उत्पीड़न, सतानेवाला, पीछा करनेवाले									
G3115, G4343, G5281	persevere, perseverance				धीरज धरना , धीरज									
G654,G1294,G3344,G3346,G3859,G4106	perverse, perversely, perversion, perversions, perversities, pervert, perverts, perverted, perverting, malicious, maliciously, devious, dishonest, crooked ways, distortion				टेढ़ी, कुटिलता, विकृति, अन्याय, उलट फेर, बिगाड़ने,  टेढ़ी-मेढ़ी,  उलट-पुलट कर दिया, बहकाते									
G1330,G1338,G1574,G2660,G3572,G4044,G4138	pierce, pierces, pierced, piercing				छेदना, बेधाता, बेधा, भेदता हुआ									
G5519	pig, pigs, pork, swine				सूअर, सूअरों, सूअर का माँस, सुअर									
G4769	column, columns, pillar, pillars				स्तंभ, लाटें, खम्भा, खम्भों									
G12,G999,G5421	pit, pits, pitfall, trenches				गड्ढा, गड्ढे, फंदों									
G3061,G3148,G4127	plague, plagues				मरी, विपत्तियों									
G1189,G1793,G2065,G3870	plea, pleas, plead, pleads, pleaded, pleading, pleadings				गिड़गिड़ाना, विनती, मुकद्दमा, वाद विवाद करना, गिड़गिड़ाकर, निवेदन करता, निवेदन									
G728	pledge, pledged, pledges				रेहन, का वचन दिया, प्रतिज्ञाओं									
G722,G723	plow, plows, plowed, plowing, plowers, plowman, plowmen, plowshares, unplowed				हल, हल चलाना, हल चलाया, हल जोतने, हलवाहों, जोतनेवाला, किसान,  हल की फाल, अजोत									
	pomegranate, pomegranates				अनार, अनारों									
G1139,G2192,G2697,G2722,G2932,G2933,G2935,G4047,G5224,G5564	possess, possesses, possessed, possessing, possession, possessions, dispossess, owned title				अधिकार में लेना, मोल लिया, कब्ज़ा था, अधिकार में रखना, अधिकार, सम्पति, निकाल देना									
G1229,G1256,G2097,G2605,G2782,G2783,G2784,G2980,G3853,G3955,G4283,G4296	praise, praises, praised, praising, praiseworthy				स्तुति, भजन, स्तुति की, स्तुति करते, बड़ाई की बात									
G1229,G1256,G2097,G2605,G2782,G2783,G2784,G2980,G3955,G4283,G4296	preach, preached, preaching, preacher				प्रचार करना, प्रचार किया, प्रचार, प्रचारक									
G927,G1784,G2472,G4185,G4186,G5092,G5093	precious, valuable, expensive, fine				अनमोल									
	prey, prey on				आहेर, आहेर करना									
G747,G758,G1413,G2232,G3175	prince, princes, princess, princesses, officials, high officials				राजकुमार, राजकुमारी, राजकुमारी, राजकुमारियां									
G1198,G1199,G1200,G1201,G1202,G1210,G2252,G3612,G4788,G4869,G5083,G5084,G5438,G5439	prison, prisoner, prisoners, prisons, imprison, imprisons, imprisoned, imprisonment, imprisonments				बन्दीगृह, बन्दी, बन्दी, बन्दीगृह, कैद में, कैद में, बन्दी बनाना, बन्दी बनना, बन्दी बनना									
G518,G591,G1229,G1861,G2097,G2605,G2782,G2784,G2980,G3142,G3853,G4135	proclaim				प्रचार करना, प्रचार करना, प्रचार, घोषणा, उद्घोषणा, उद्घोषणा									
G952,G953	profane, profaned, profaning				अशुद्ध करना, अपवित्र, अशुद्ध करना									
G147,G1281,G2585,G2770,G2771,G3408,G4297,G4298,G4851,G5539,G5622,G5623,G5624	profit, profits, profitable, unprofitable, useful, progress, benefit				लाभ, लाभ, लाभदायक									
G2137	prosper, prospered, prospering, prosperity, prosperous				समृद्ध होना, समृद्धि,  समृद्ध,  समृद्धि,  समृद्ध									
G4204	prostitute, prostituted, prostitutes, harlot, whored				वैश्या, वेश्यावृत्ति, व्यभिचारिणी, व्यभिचारिणी, व्यभिचारिणी, व्यभिचारिणी 									
G4098	prostrate, prostrated				दण्डवत् करना, दण्डवत् किया									
G212,G1391,G1392,G2744,G2745,G2746,G3173,G5187,G5229,G5243,G5244,G5308,G5309,G5426,G5450	proud, proudly, pride, prideful				घमण्ड, घमण्ड से, बड़ाई, घमण्ड भरी									
G3850,G3942	proverb, proverbs				नीतिवचन, नीतिवचन									
G1885	province, provinces, provincial				प्रांत, प्रांत, प्रादेशिक									
G653,G2042,G3863,G3893,G3947,G3948,G3949,G4292	provoke, provokes, provoked, provoking, provocation				भड़काना, भड़काना, भड़काना, भड़काना, भड़काना									
G4908,G5428	prudence, prudent, prudently													
G5229,G5448	puffed up, puffs up				फूल जाना, फूल जाना									
G1349,G1556,G1557,G2849,G3811,G5097	punish, punishes, punished, punishing, punishment, unpunished				दण्ड देना, दंडित करने, दंडित करने, दंडित करने, दंड, अदंडित									
G4209,G4210,G4211	purple				बैंगनी									
G683,G4261	push, pushed, pushing				धक्का देना, धक्का दिया, धक्का									
	qualify, qualified, disqualified				योग्य करना, योग्य, निकम्मा ठहरा									
G938	queen, queens				रानी, रानियाँ									
G762,G4570	quench, quenched, unquenchable				बुझाना, बुझेगी, नहीं बुझती									
G1693,G2830,G3710,G5433	rage, rages, raged, raging, enrage				क्रोध, क्रोधित, भड़का, क्रोध भड़काता									
G305,G386,G393,G450,G1096,G1326,G1453,G1525,G1817,G1825,G1892,G1999,G4891,	raise, raises, raised, rise, risen, arise, arose, got up, stir up, stirring up, stirred up				खड़ा करना, उठाना, उठाया, खड़ा होना, उठना, उठा, उठा था									
G270,G2325,G2327	reap, reaps, reaped, reaper, reapers, reaping				लवनी, लवनेवाला, काटा, लवनेवाले, लवनेवालों, लवती									
G3893,G4955	rebel, rebels, rebelled, rebelling, rebellion, rebellious, rebelliousness				बलवा , बलवा, बलवा किया, विद्रोह, विद्रोह, बलवाई, विद्रोह शीलता									
G298,G299,G1649,G1651,G1969,G2008,G3679	rebuke, rebukes, rebuked				झिड़कना, घुड़कने, डांटा									
G308,G324,G353,G354,G568,G588,G618,G1183,G1209,G1523,G1653,G1926,G2210,G2865,G2983,G3028,G3335,G3336,G3549,G3858,G3880,G3970,G4327,G4355,G4356,G4687,G4732,G5264,G5274,G5562	receive, receives, received, receiving, receiver, welcome, welcomed, taken up, acceptance													
G2063,G2563	reed, reeds				नरकट, कांसे									
	refuge, refugee, refugees, shelter, shelters, sheltered, sheltering				शरण, शरणार्थी, शरणार्थियों, मण्डप, मण्डपों, आड़, आड़ देना									
G757,G936,G2231,G4821	reign, reigns, reigned, reigning				राज करना, राज्य करता है, राज्य करता, राज्य कर रहा है									
G96,G114,G483,G550,G579,G580,G593,G683,G720,G1609,G3868	reject, rejects, rejected, rejecting, rejection				परित्याग, परित्याग, परित्याग, परित्याग, परित्याग									
G21,G2165,G2620,G2744,G2745,G4796,G4913,G5463	rejoice				आनन्द, आनन्द मनाना, आनन्दित हुआ, आनन्द करें									
	renown, renowned, famous				कीर्ति, कीर्तिमान									
G189,G191,G312,G518,G987,G1225,G1310,G1426,G1834,G2036,G2162,G2163,G3004,G3056,G3140,G3141,G3377	report, reports, reported, reputation				समाचार, समाचारों, समाचार दिया									
G410,G423,G819,G3059,G3679,G3680,G3681,G5195,G5196,G5484	reproach, reproaches, reproached, reproaching, reproachfully, insult, insults, insulted				निन्दा, अपमान, निन्दा, निन्दा, नामधराई									
G372,G373,G425,G1515,G1879,G1954,G1981,G2270,G2663,G2664,G2681,G2838,G3062,G4520	rest, rests, rested, resting, restless, relief				विश्राम करना, विश्राम, विश्राम किया, विश्राम, विश्राम रहित									
G344,G360,G390,G1877,G1880,G1994,G5290	return, returns, returned, returning, turning back, return back				लौट आना, लौट आना, लौटकर, लौट रहे									
G127,G1788,G2125,G2412,G5399,G5401	revere, revered, reverence, reverences, reverent, respect				श्रद्धा, भय माना, भय मानकर, सम्मानों, भक्तियुक्त									
G469,G514,G591,G2603,G3405,G3406,G3408	reward, rewards, rewarded, rewarding, rewarder, prize, deserve, future, payment, wages				प्रतिफल, प्रतिफल, प्रतिफल देना, पुरस्कृत, प्रतिफल देने बाला									
G1746,G2066,G2067,G2440,G4749,G4016,G5511	robe, robes, robed				चोगा, वस्त्र, चोगा पहनाना									
G2563,G4463,G4464	rod, rods				लाठी, छड़ें									
G933,G934,G937	royal, royalty, kings				राजकीय, राजसी गौरव									
G2679,G2692,G3639,G4485	ruin, ruins, ruined				नष्ट करना, नष्ट करना, बर्बाद									
G746,G752,G755,G757,G758,G932,G936,G1018,G1203,G1299,G1778,G1785,G1849,G2232,G2233,G2525,G2583,G2888,G2961,G3545,G3841,G4165,G4173,G4291	rule, rules, ruled, ruler, rulers, ruling, rulings, overrules, overruled				शासन, नियम, शासित, शासक, शासकों, निर्णयों, फैसलों, अतिरंजित									
G413,G1377,G1601,G1530,G1532,G1632,G1998,G2027,G2701,G3729,G4063,G4370,G4390,G4890,G4936,G5143,G5240,G5295,G5302,G5343	run, runs, ran, runner, runners, running, rushed, quickly went, spilling over, be spilled, flows, leap, climb, moving swiftly, flow				दौड़ना, दौड़ना, दौड़ना, दौड़ना, दौड़ना									
G4526	sackcloth				टाट									
G2413	sacred				पवित्र									
G266,G334,G1049,G1435,G1494,G2378,G2380,G3646,G4376,G5485	sacrifice, sacrifices, sacrificed, sacrificing, offering, offerings				बलिदान करना, बलि, बलिदान किये, बलिदान करना, भेंट, भेंट की वस्तुओं									
G4547,G5266	sandal, sandals				जूता, जूतियां									
G4464	scepter, scepters				राजदण्ड, राजदण्डों									
G974,G975	scroll, scrolls				पुस्तक, दस्तावेज़ों									
	seacow				मेढ़ों और समुद्री गाय									
G2696,G4972,G4973	seal, seals, sealed, sealing, unsealed				मुहर, मुहर, मुहर लगाना, खुली									
G4615,G4687,G4690,G4701,G4703	seed, semen				बीज, वीर्य									
G327,G1567,G1934,G2052,G2212	seek, seeks, seeking, sought, look for, searches for, seek advice				ढूँढ़े, ढूँढ़ते हैं, खोजना, मांगा									
G724,G1949,G2638,G2902,G2983,G4815,G4884	seize, seizes, seized, seizure				बन्दी बनाना, बन्दी, जब्त, कब्जा									
	selah				सेला									
G192,G193,G1466,G1467,G1468,G4997	self-control, self-controlled, controlled self				संयम, संयम, आत्म नियंत्रित,									
G782,G375,G630,G649,G652,G657,G1026,G1032,G1544,G1599,G1821,G3333,G3343,G3936,G3992,G4311,G4341,G4369,G4842,G4882	send, sends, sent, sending, send out, sends out, sent out, sending out				भेजना, भेजा जाता, भेजा गया, भेजा जाना, बाहर भेजना, बाहर भेजना, बाहर भेजा गया, बाहर भेजा जाना									
G2191,G2062,G3789	serpent, serpents, snake, snakes, viper, vipers, reptile				सर्प, साँपों, साँप, साँप, साँप, साँपों									
G1249,G1401,G1402,G2324,G3407,G3411,G3610,G3816,G4983,G5257	servant, servants, hired servant, hired servants, female servant, female servants, servant girl, servant girls, slave, slaves, slave girl, slaved, slavery, maidservants, serve, serves, served, serving, service, services, eyeservice				सेवा करना, दास बनाना, दास बना दिया, सेवक, सेवकों, दास, दासों, सेवा करना, दासत्व, दासी									
G1247,G1248,G1398,G1402,G1438,G1983,G2064,G2212,G2323,G2999,G3000,G3009,G4337,G4342,G4754,G5087,G5256	serve				सेवा करना, सेवा करना, सेवा किया, सेवा कर रहा है, सेवा, सेवा, मजबूर होकर काम									
G1097	had relations with, lovemaking, sleep with, sleeps with, slept with, sleeping with				के साथ संबंध थे, प्यार में रत होना, साथ सोना, साथ सोता है, के साथ सोया, के साथ सोना									
G644,G1982,G2683,G4639	shadow, shadows, overshadow, overshadowed, shade				छाया, छाया, आच्छादन, आच्छादन									
G127,G149,G152,G153,G422,G808,G818,G819,G821,G1788,G1791,G1870,G2617,G3856,G5195	shame, shames, shamed, shameful, shamefully, shameless, shamelessly, ashamed, unashamed, causing to mock				नामधराई, लज्जा, शर्म, शर्मपूर्ण, शर्मपूर्णता से, शर्महीनता, शर्महीनता से,लज्जित, लज्जित नहीं									
G4165,G4262,G4263	ewe, ewes, ram, rams, sheep, sheepfold, sheepfolds, sheepshearers, sheepskins				भेड़, भेड़ें, मेंढ़ा, मेंढ़ा, भेड़, भेड़शाला, भेड़शाला, भेड़-बकरी, भेड़-काज									
G750,G4165,G4166	shepherd, shepherds, shepherded, shepherding, chief shepherd				चरवाहे, चरवाहा, चरवाहा, चरवाही									
G2375	shield, shields, shielded				ढाल, ढाल, ढाल									
G5429	shrewd, shrewdly				धूर्त , चतुरता									
	siege, besiege, besieged, besiegers, besieging, siegeworks				घेर, घेर लेना, घेर लिया, घेर करनेवाला, घेर लेना, मोर्चा बांधना									
G693,G694,G695,G696,G1406	silver				चाँदी									
	sin offering, sin offerings				पापबलि, पापबलि									
G27,G79	sister, sisters				बहन, बहनों									
G337,G615,G1315,G2380,G2695,G4968,G4969,G5407	skull				खोपड़ी									
G337,G615,G1315,G2380,G2695,G4968,G4969,G5407	slay, slain, kill, killed, murder, murdered, murders				घात करना, घात किए गए									
G987,G988,G1228,G1426,G2636,G2637,G3059,G3060,G6022	slander, slanders, slandered, slanderers, slandering, slanderous				बदनामी, बदनामी, बदनाम, निंदक, निंदा, नृशंस									
G2871,G4967,G4969,G5408	slaughter, slaughters, slaughtered, slaughtering				वध करना, वध करना, वध करना, वध करना									
G879,G1852,G1853,G2518,G2837,G5258	asleep, fall asleep, fell asleep, fallen asleep, sleep, sleeps, slept, sleeping, sleeper, sleepless, sleepy				नींद, सो जाना, सो गए थे, सोना, सोना, “उसे नींद आ गई”, सोना, सोना, नींद ना आना, नींद									
G64,G1029,G2339,G2340,G3802,G3803,G3985,G4625	snare, snares, ensnare, ensnares, ensnared, entrap, trap, traps, trapped				फंदा, फंदे, फंसाना, फंसाना, फँसना, फंसाना, जाल, जालें, फंस गए									
G5510	snow, snowed, snowing				हिम, हिम पड़ा, बर्फ गिरने के समय									
G3095,G3096,G3097,G5331,G5332,G5333	sorcerer, sorcerers, sorceress, sorcery, sorceries, witchcraft, someone who talked with the dead				जादूगर, जादूगर, जादूगर, जादूगर, जादूगर, जादू टोना									
G4687,G4703,G5300,G5452,G6037	plant, plants, planted, planting, implanted, replanted, transplanted, sow, sows, sowed, sown, sowing				पौधे, पौधे, लगाए गए, रोपण, प्रत्यारोपित, पुनर्नामित, प्रत्यारोपित, बोना, बोआ, बोया, बोया, बुवाई									
G3057	spear, spears, spearmen				भाला, भाले, भाला धारण करनेवाला सिपाही									
	splendor, splendid				वैभव									
G2563,G3586,G4464	staff, staffs, clubs				लाठी, लाठी									
	statute, statutes				विधि, विधियां									
G483,G4644,G4645	stiff-necked, stubborn, stubbornly, stubbornness				हठीले, हठीला, कठोर होकर, कठोरता									
G596	storehouse, storehouses				भण्डार, भण्डार									
G461,G772,G950,G1411,G1412,G1743,G1765,G1840,G1849,G1991,G2479,G2480,G2901,G2904,G3619,G3756,G4599,G4732,G4733,G4741	strength, strengthen, strengthens, strengthened, strengthening, strong, valor, influence				बल, बलवन्त करना, दृढ़ किया, मजबूत, हियाव बाँधा									
G485,G2052,G2054,G3055,G3163,G5379	strife, disputes, quarrel, arguing, conflict, conflicts				कलह									
G4608	strong drink, strong drinks				दाखमधु, दाखमधु									
G3794	stronghold, strongholds, fortifications, fortified, fortress, fortresses				गढ़, गढ़ों, मजबूत गढ़, दृढ़, मजबूत गढ़, गढ़ों									
G679,G4348,G4350,G4417,G4624,G4625	stumble, stumbles, stumbled, stumbling, reeling				ठोकर, ठोकर खाए,  ठोकर खाया,  ठोकर खाता									
G3037,G4349,G4625	stumbling block, stumbling blocks, stone of stumbling				ठोकर, ठोकर का कारण, ठोकर के कारण, ठोकर का पत्थर									
G350,G1379,G1396,G1777,G3663,G5292,G5293	subject, subjects, subjected, subject to, be subject to, subjection, be subjected, are subjected, was subjected, were subjected, in subjection to, subdue, forced to become slaves				अधीन, अधीन, अधीन, अधीन, अधीन, अधीनता, अधीन, अधीन, अधीन था, अधीन थे, अधीन									
G5226,G5293	submit, submits, submitted, submitting, submission, in submission				अधीन होना, अधीन रहना, अधीन हुआ, अधीन रहना, अधीनता,अधीनता में									
G91,G941,G971,G2210,G2346,G2347,G3804,G3958,G4310,G4778,G4841,G5004,G5723	suffer, suffers, suffered, suffering, sufferings				दुःख उठाए, दुःख उठाना, दुःख उठाया, दुःख उठता, दुःख उठाता									
G2303	sulfur, sulfurous				गन्धक, गन्धक									
G4216,G4563,G4951	sweep, sweeps, swept, sweeping, pursued				झाड़ना, उड़ा ले जाना, झाड़ा-बुहारा, झाड़न									
G3162,G4501	sword, swords, swordsmen				तलवार, तलवारें, तलवार रखनेवाले									
G583,G5411	tax, taxes, taxed, taxing, taxation, taxpayers, tax collector, tax collectors				कर, करों, कर लगाया, कर लगाना, करदाताओं									
G5057,G5058	taxcollector				चुंगी लेनेवाला, चुंगी लेनेवालों									
G1317,G1321,G1322,G2085,G2605,G2727,G3100,G2312,G2567,G3811,G4994	teach, teaches, taught, teaching, teachings, untaught				सिखाना, सिखाता है, पढ़ाया गया, शिक्षा, शिक्षायें, अशिक्षित									
G1320,G2567,G3547,G5572	teacher, teachers, Teacher				गुरु, गुरूओं, उपदेशक									
	Ten Commandments				दस आज्ञाएँ									
	tent, tents, tentmakers				तम्बू, तम्बूओं, तम्बू बनाने वाला									
G586,G1181,G1183	tenth, tenths, tithe, tithes				दशमांश, दसवें अंश, दशमांश, दसवां									
	tent of meeting				मिलापवाला तम्बू									
G1629,G1630,G2258,G4422,G4426,G5401	terror, terrorize, terrorized, terrors, terrify, terrified, terrifying, frightened, panic, terrifying events				डर, डराएँगे, दहशत, भयंकर, डराएँ, घबरा गए, भयानक									
G727,G1888,G2417,G2812,G3027	thief, thieves, rob, robs, robbed, robber, robbers, robbery, robbing, bandits, violent				चोर, चोर, लूटने, लूटने, लूटने, डाकू, लुटेरे, डकैती, लूट									
G173,G174,G4647,G5146	thorn, thornbush, thornbushes, thorns, thistle, thistles				कटीले, झड़बेरी, झाड़ियों, काँटों, झाड़ी, ऊँटकटारे									
G248	thresh, threshes, threshed, threshing				दाँवना, दाँवना, दाएँ हुए, दाँवने									
	threshold, thresholds				डेवढ़ी, डेवढ़ियों									
G968,G2362	throne, thrones, enthroned				सिंहासन, सिंहासनों, विराजमान									
G744,G530,G1074,G1208,G1441,G1597,G1626,G1909,G2034,G2119,G2121,G2235,G2250,G2540,G3379,G3461,G3568,G3763,G3764,G3819,G3956,G3999,G4178,G4181,G4183,G4218,G4277,G4287,G4340,G4455,G5119,G5151,G5305,G5550,G5551,G5610	time, timely, times, untimely, date				समय, समयानुकूल, समय, असाधारण									
G86,G2750,G3418,G3419,G5028	grave, gravediggers, graves, tomb, tombs, burial place				कब्र, मिट्टी देनेवाले, कब्रें, कब्र, कब्रों, कब्रिस्तान									
G1100,G1258,G1447,G2084	tongue, tongues, language				जीभ, जीभों									
G928,G929,G930,G931,G2558,G2851,G3600	torment, tormented, tormenting, tormentors, agony, torturers				दुःख देने, सताया, अंधेर करना, दुःख देनेवालों									
G3862, G3970	tradition, traditions				परम्परा, परम्पराओं									
G2662,G3961	trample, tramples, trampled, trampling				रौंदे, रौंदेगा, रौंदा, रौंदना									
G1611	trance				बेसुध होकर									
G1719,G1790,G5141,G5156,G5425	tremble, trembles, trembled, trembling, staggering				कांपना, काँप उठना, काँपकर, थरथराते हुए									
G178,G1382,G1383,G2919,G3984,G3986,G4451	trial, trials, proving				परीक्षा, दुःख									
G1429,G5443	tribe, tribes, tribal, tribesmen				गोत्र, गोत्रों, गोत्रों, भाइयों									
G2346,G2347	tribulation, distresses				क्लेश									
G1323,G2778,G5411	tribute, contribution, fined				tribute									
G387,G1298,G1613,G1776,G2346,G2347,G2350,G2360,G2553,G2873,G3636,G3926,G3930,G3986,G4423,G4660,G5015,G5016,G5182	trouble, troubles, troubled, troubling, troublemaker, troublesome, disturbing, upset, shaken, hardship				दुःख, क्लेश, परेशान होना, सताना, सतानेवाले, उपद्रवी									
G4536,G4537,G4538	trumpet, trumpets, trumpeters				तुरही, तुरहियां, तुरही फूँकनेवालों									
G5509	tunic, tunics				कुर्ता, अंगरखों									
G344,G387,G402,G576,G654,G665,G868,G1294,G1578,G1612,G1624,G1994,G2827,G3179,G3313,G3329,G3344,G3346,G4762,G5077,G5157,G5290,G6060	turn, turns, turn away, turns away, turn back, turns back, turned, turned away, turned back, turning, turning away, direct				मुड़, मुड़ता, लौटना, पीछे मुड़ता है, वापस मुड़ता है, वापस मुड़ना, वापस मुड़ा, मुड़ जाना, वापस मुड़ा,मोड़, मुड़ कर दूर जा रहा है, लौटता है, वापस लौटाया, वापस लौट रहा है, वापस लौट जाता है									
G50,G145,G191,G801,G1097,G1107,G1108,G1271,G1921,G1922,G1987,G1990,G2657,G3129,G3539,G3563,G3877,G4441,G4907,G4908,G4920,G5424,G5428,G5429,G6063	understand, understands, understood, understanding, thinking				समझना, समझता है, समझ लिया, समझ									
G255,G512,G888,G889,G890	unprofitable				निष्फल									
G945,G1432,G1500,G2755,G2756,G2757,G2758,G2761,G3150,G3151,G3152,G3153,G3154,G3155	vain, vanity, futile, empty, useless, meaningless				व्यर्थ, अनर्थ									
G2665	veil, veils, veiled, unveiled				परदा, घूँघटों, परदा पड़ा, उघाड़े									
G288,G290,G1009,G1092	vine, vines				दाखलता, दाखलताओं									
G289,G290	vineyard, vineyards				दाख की बारी, दाख की बारियों									
G3932,G3933	virgin, virgins, virginity				कुँवारी, कुमारियों, कुँवारीपन									
G3701,G3705,G3706	vision, visions, envision				दर्शन, दर्शनों, दर्शन									
G2906,G5456,G5586	voice, voices				शब्द, स्वर									
G1330,G1704,G3716,G4043,G4198,G4748	walk, walks, walked, walking				चले, चलता, चला, चलता									
,G4686,G4753,G4754,G4757,G4758,G4961	soldier, soldiers, warrior, warriors, army				सैनिक, सिपाहियों, योद्धा, शूरवीरों									
G684,G1287,G2049,G2673,G4199	waste, wastes, wasted, wasting, wasteland, wastelands, becomes weak, devastates				सत्यानाश, नाश, नाश हो गया, नाश कर, उजाड़, खण्डहरों									
G69,G70,G991,G1127,G1492,G2334,G2892,G3525,G3708,G3906,G4337,G4648,G5083,G5438	watch, watches, watched, watching, watchman, watchmen, watchful, take heed, beware, watch out, guard				चौकस, ताकता, देखा, देख रहा था, द्वारपाल, पहरुओं, जागते रहो									
G4444	watchtower, watchtowers, tower				गुम्मट, पहरे की मिनारों, गुम्मट									
G504,G4215,G4222,G5202,G5204	water, waters, watered, watering				पानी, जल, पानी पिलाया, पानी देना									
G4077,G5421	cistern, cisterns, well, wells				गड्ढे, कुएँ, कुआँ, कुओं									
G4621	wheat				गेहूँ									
G1098,G3631,G3820,G3943	wine, wines, wineskin, wineskins, new wine				दाखरस, कुण्ड, कुण्डों, दाखरस, मशक, मशकों, नई दाखरस									
G3025,G5276	winepress				दाखरस के कुण्ड									
G4425,G4617	winnow, winnows, winnowed, winnowing, sift, sifting				फटकना, फटकता, फटका, फटकेगा, फटके, छानना									
G4680	wise men				बुद्धिमानों									
G3074	wolf, wolves, wild dogs				भेड़िया, भेड़िए, जंगली कुत्ते									
G1064,G2836,G3388	womb, wombs				गर्भ									
G518,G1024,G3050,G3054,G3055,G3056,G4086,G4487,G4935,G5023,G5542	word, words, speech				वचन, शब्द									
G1125	it is written				लिखा गया									
G91,G92,G93,G95,G264,G824,G983,G984,G1536,G1626,G1651,G1727,G1908,G2556,G2558,G2559,G2607,G3076,G3077,G3762,G4122,G5195,G5196	wrong, wrongs, wronged, wrongly, wrongfully, wrongdoer, wrongdoing, mistreat, mistreated, hurt, hurts, hurting, hurtful, injury, harm, harmful				गलत, गलतियाँ, गलत करना, गलत तरीके से, गलत तरीके से, गलत करनेवाले, गलत, दुर्व्यवहार, दुर्व्यवहार, सताया हुआ, दर्द, चोट पहुँचाना, दर्दनाक									
G106,G2219,G2220	yeast, leaven, leavens, leavened, unleavened				ख़मीर, ख़मीरी, ख़मीर, ख़मीर बनाना, अख़मीरी									
G2086,G2201,G2218,G4805	yoke, yokes, yoked				जूआ, जूए, जूए में									
